,Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
6755,All Killed and Injured Casualties,2005,21 - 24 years,Male,Motor cyclists,Number,71
6756,All Killed and Injured Casualties,2005,21 - 24 years,Male,All Car users,Number,462
6757,All Killed and Injured Casualties,2005,21 - 24 years,Male,Car drivers,Number,298
6758,All Killed and Injured Casualties,2005,21 - 24 years,Male,Car passengers,Number,164
6759,All Killed and Injured Casualties,2005,21 - 24 years,Male,Other road users,Number,98
6761,All Killed and Injured Casualties,2005,21 - 24 years,Female,Pedestrians,Number,30
6762,All Killed and Injured Casualties,2005,21 - 24 years,Female,Pedal cyclists,Number,5
6763,All Killed and Injured Casualties,2005,21 - 24 years,Female,Motor cyclists,Number,5
6764,All Killed and Injured Casualties,2005,21 - 24 years,Female,All Car users,Number,330
6765,All Killed and Injured Casualties,2005,21 - 24 years,Female,Car drivers,Number,219
6766,All Killed and Injured Casualties,2005,21 - 24 years,Female,Car passengers,Number,111
6767,All Killed and Injured Casualties,2005,21 - 24 years,Female,Other road users,Number,14
6769,All Killed and Injured Casualties,2005,25 - 34 years,Male,Pedestrians,Number,80
6770,All Killed and Injured Casualties,2005,25 - 34 years,Male,Pedal cyclists,Number,38
6771,All Killed and Injured Casualties,2005,25 - 34 years,Male,Motor cyclists,Number,165
6772,All Killed and Injured Casualties,2005,25 - 34 years,Male,All Car users,Number,658
6773,All Killed and Injured Casualties,2005,25 - 34 years,Male,Car drivers,Number,537
6774,All Killed and Injured Casualties,2005,25 - 34 years,Male,Car passengers,Number,121
6775,All Killed and Injured Casualties,2005,25 - 34 years,Male,Other road users,Number,222
6777,All Killed and Injured Casualties,2005,25 - 34 years,Female,Pedestrians,Number,60
6778,All Killed and Injured Casualties,2005,25 - 34 years,Female,Pedal cyclists,Number,8
6779,All Killed and Injured Casualties,2005,25 - 34 years,Female,Motor cyclists,Number,14
6780,All Killed and Injured Casualties,2005,25 - 34 years,Female,All Car users,Number,611
6781,All Killed and Injured Casualties,2005,25 - 34 years,Female,Car drivers,Number,458
6782,All Killed and Injured Casualties,2005,25 - 34 years,Female,Car passengers,Number,153
6783,All Killed and Injured Casualties,2005,25 - 34 years,Female,Other road users,Number,38
6785,All Killed and Injured Casualties,2005,35 - 44 years,Male,Pedestrians,Number,64
6786,All Killed and Injured Casualties,2005,35 - 44 years,Male,Pedal cyclists,Number,21
6787,All Killed and Injured Casualties,2005,35 - 44 years,Male,Motor cyclists,Number,104
6788,All Killed and Injured Casualties,2005,35 - 44 years,Male,All Car users,Number,382
6789,All Killed and Injured Casualties,2005,35 - 44 years,Male,Car drivers,Number,320
6790,All Killed and Injured Casualties,2005,35 - 44 years,Male,Car passengers,Number,62
6791,All Killed and Injured Casualties,2005,35 - 44 years,Male,Other road users,Number,134
6793,All Killed and Injured Casualties,2005,35 - 44 years,Female,Pedestrians,Number,35
6794,All Killed and Injured Casualties,2005,35 - 44 years,Female,Pedal cyclists,Number,9
6795,All Killed and Injured Casualties,2005,35 - 44 years,Female,Motor cyclists,Number,8
6796,All Killed and Injured Casualties,2005,35 - 44 years,Female,All Car users,Number,367
6797,All Killed and Injured Casualties,2005,35 - 44 years,Female,Car drivers,Number,279
6798,All Killed and Injured Casualties,2005,35 - 44 years,Female,Car passengers,Number,88
6799,All Killed and Injured Casualties,2005,35 - 44 years,Female,Other road users,Number,20
6801,All Killed and Injured Casualties,2005,45 - 54 years,Male,Pedestrians,Number,37
6802,All Killed and Injured Casualties,2005,45 - 54 years,Male,Pedal cyclists,Number,10
6803,All Killed and Injured Casualties,2005,45 - 54 years,Male,Motor cyclists,Number,47
6804,All Killed and Injured Casualties,2005,45 - 54 years,Male,All Car users,Number,251
6805,All Killed and Injured Casualties,2005,45 - 54 years,Male,Car drivers,Number,213
6806,All Killed and Injured Casualties,2005,45 - 54 years,Male,Car passengers,Number,38
6807,All Killed and Injured Casualties,2005,45 - 54 years,Male,Other road users,Number,105
6809,All Killed and Injured Casualties,2005,45 - 54 years,Female,Pedestrians,Number,30
6810,All Killed and Injured Casualties,2005,45 - 54 years,Female,Pedal cyclists,Number,6
6811,All Killed and Injured Casualties,2005,45 - 54 years,Female,Motor cyclists,Number,5
6812,All Killed and Injured Casualties,2005,45 - 54 years,Female,All Car users,Number,292
6813,All Killed and Injured Casualties,2005,45 - 54 years,Female,Car drivers,Number,224
6814,All Killed and Injured Casualties,2005,45 - 54 years,Female,Car passengers,Number,68
6815,All Killed and Injured Casualties,2005,45 - 54 years,Female,Other road users,Number,15
6817,All Killed and Injured Casualties,2005,55 - 64 years,Male,Pedestrians,Number,49
6818,All Killed and Injured Casualties,2005,55 - 64 years,Male,Pedal cyclists,Number,12
6819,All Killed and Injured Casualties,2005,55 - 64 years,Male,Motor cyclists,Number,8
6820,All Killed and Injured Casualties,2005,55 - 64 years,Male,All Car users,Number,183
6821,All Killed and Injured Casualties,2005,55 - 64 years,Male,Car drivers,Number,158
6822,All Killed and Injured Casualties,2005,55 - 64 years,Male,Car passengers,Number,25
6823,All Killed and Injured Casualties,2005,55 - 64 years,Male,Other road users,Number,55
6825,All Killed and Injured Casualties,2005,55 - 64 years,Female,Pedestrians,Number,27
6826,All Killed and Injured Casualties,2005,55 - 64 years,Female,Pedal cyclists,Number,3
6827,All Killed and Injured Casualties,2005,55 - 64 years,Female,Motor cyclists,Number,2
6828,All Killed and Injured Casualties,2005,55 - 64 years,Female,All Car users,Number,190
6829,All Killed and Injured Casualties,2005,55 - 64 years,Female,Car drivers,Number,133
6830,All Killed and Injured Casualties,2005,55 - 64 years,Female,Car passengers,Number,57
6831,All Killed and Injured Casualties,2005,55 - 64 years,Female,Other road users,Number,8
6833,All Killed and Injured Casualties,2005,65 years and over,Male,Pedestrians,Number,65
6834,All Killed and Injured Casualties,2005,65 years and over,Male,Pedal cyclists,Number,9
6835,All Killed and Injured Casualties,2005,65 years and over,Male,Motor cyclists,Number,6
6836,All Killed and Injured Casualties,2005,65 years and over,Male,All Car users,Number,202
6837,All Killed and Injured Casualties,2005,65 years and over,Male,Car drivers,Number,170
6838,All Killed and Injured Casualties,2005,65 years and over,Male,Car passengers,Number,32
6839,All Killed and Injured Casualties,2005,65 years and over,Male,Other road users,Number,23
6841,All Killed and Injured Casualties,2005,65 years and over,Female,Pedestrians,Number,68
6842,All Killed and Injured Casualties,2005,65 years and over,Female,Pedal cyclists,Number,2
6843,All Killed and Injured Casualties,2005,65 years and over,Female,Motor cyclists,Number,3
6844,All Killed and Injured Casualties,2005,65 years and over,Female,All Car users,Number,187
6845,All Killed and Injured Casualties,2005,65 years and over,Female,Car drivers,Number,106
6846,All Killed and Injured Casualties,2005,65 years and over,Female,Car passengers,Number,81
6847,All Killed and Injured Casualties,2005,65 years and over,Female,Other road users,Number,10
6881,All Killed and Injured Casualties,2006,0 - 5 years,Male,Pedestrians,Number,33
6882,All Killed and Injured Casualties,2006,0 - 5 years,Male,Pedal cyclists,Number,0
6883,All Killed and Injured Casualties,2006,0 - 5 years,Male,Motor cyclists,Number,0
6884,All Killed and Injured Casualties,2006,0 - 5 years,Male,All Car users,Number,55
6885,All Killed and Injured Casualties,2006,0 - 5 years,Male,Car drivers,Number,0
6886,All Killed and Injured Casualties,2006,0 - 5 years,Male,Car passengers,Number,55
6887,All Killed and Injured Casualties,2006,0 - 5 years,Male,Other road users,Number,6
6889,All Killed and Injured Casualties,2006,0 - 5 years,Female,Pedestrians,Number,18
6890,All Killed and Injured Casualties,2006,0 - 5 years,Female,Pedal cyclists,Number,0
6891,All Killed and Injured Casualties,2006,0 - 5 years,Female,Motor cyclists,Number,1
6892,All Killed and Injured Casualties,2006,0 - 5 years,Female,All Car users,Number,56
6893,All Killed and Injured Casualties,2006,0 - 5 years,Female,Car drivers,Number,0
6894,All Killed and Injured Casualties,2006,0 - 5 years,Female,Car passengers,Number,56
6895,All Killed and Injured Casualties,2006,0 - 5 years,Female,Other road users,Number,2
6897,All Killed and Injured Casualties,2006,6 - 9 years,Male,Pedestrians,Number,46
6898,All Killed and Injured Casualties,2006,6 - 9 years,Male,Pedal cyclists,Number,2
6899,All Killed and Injured Casualties,2006,6 - 9 years,Male,Motor cyclists,Number,0
6900,All Killed and Injured Casualties,2006,6 - 9 years,Male,All Car users,Number,34
6901,All Killed and Injured Casualties,2006,6 - 9 years,Male,Car drivers,Number,0
6902,All Killed and Injured Casualties,2006,6 - 9 years,Male,Car passengers,Number,34
6903,All Killed and Injured Casualties,2006,6 - 9 years,Male,Other road users,Number,1
6905,All Killed and Injured Casualties,2006,6 - 9 years,Female,Pedestrians,Number,27
6906,All Killed and Injured Casualties,2006,6 - 9 years,Female,Pedal cyclists,Number,2
6907,All Killed and Injured Casualties,2006,6 - 9 years,Female,Motor cyclists,Number,0
6908,All Killed and Injured Casualties,2006,6 - 9 years,Female,All Car users,Number,42
6909,All Killed and Injured Casualties,2006,6 - 9 years,Female,Car drivers,Number,0
6910,All Killed and Injured Casualties,2006,6 - 9 years,Female,Car passengers,Number,42
6911,All Killed and Injured Casualties,2006,6 - 9 years,Female,Other road users,Number,7
6913,All Killed and Injured Casualties,2006,10 - 14 years,Male,Pedestrians,Number,44
6914,All Killed and Injured Casualties,2006,10 - 14 years,Male,Pedal cyclists,Number,18
6915,All Killed and Injured Casualties,2006,10 - 14 years,Male,Motor cyclists,Number,3
6916,All Killed and Injured Casualties,2006,10 - 14 years,Male,All Car users,Number,46
6917,All Killed and Injured Casualties,2006,10 - 14 years,Male,Car drivers,Number,0
6918,All Killed and Injured Casualties,2006,10 - 14 years,Male,Car passengers,Number,46
6919,All Killed and Injured Casualties,2006,10 - 14 years,Male,Other road users,Number,10
6921,All Killed and Injured Casualties,2006,10 - 14 years,Female,Pedestrians,Number,35
6922,All Killed and Injured Casualties,2006,10 - 14 years,Female,Pedal cyclists,Number,2
6923,All Killed and Injured Casualties,2006,10 - 14 years,Female,Motor cyclists,Number,0
6924,All Killed and Injured Casualties,2006,10 - 14 years,Female,All Car users,Number,56
6925,All Killed and Injured Casualties,2006,10 - 14 years,Female,Car drivers,Number,1
6926,All Killed and Injured Casualties,2006,10 - 14 years,Female,Car passengers,Number,55
6927,All Killed and Injured Casualties,2006,10 - 14 years,Female,Other road users,Number,10
6929,All Killed and Injured Casualties,2006,15 - 17 years,Male,Pedestrians,Number,28
6930,All Killed and Injured Casualties,2006,15 - 17 years,Male,Pedal cyclists,Number,4
6931,All Killed and Injured Casualties,2006,15 - 17 years,Male,Motor cyclists,Number,29
6932,All Killed and Injured Casualties,2006,15 - 17 years,Male,All Car users,Number,155
6933,All Killed and Injured Casualties,2006,15 - 17 years,Male,Car drivers,Number,55
6934,All Killed and Injured Casualties,2006,15 - 17 years,Male,Car passengers,Number,100
6935,All Killed and Injured Casualties,2006,15 - 17 years,Male,Other road users,Number,26
6937,All Killed and Injured Casualties,2006,15 - 17 years,Female,Pedestrians,Number,28
6938,All Killed and Injured Casualties,2006,15 - 17 years,Female,Pedal cyclists,Number,1
6939,All Killed and Injured Casualties,2006,15 - 17 years,Female,Motor cyclists,Number,1
6940,All Killed and Injured Casualties,2006,15 - 17 years,Female,All Car users,Number,141
6941,All Killed and Injured Casualties,2006,15 - 17 years,Female,Car drivers,Number,20
6942,All Killed and Injured Casualties,2006,15 - 17 years,Female,Car passengers,Number,121
6943,All Killed and Injured Casualties,2006,15 - 17 years,Female,Other road users,Number,11
6945,All Killed and Injured Casualties,2006,18 - 20 years,Male,Pedestrians,Number,30
6946,All Killed and Injured Casualties,2006,18 - 20 years,Male,Pedal cyclists,Number,7
6947,All Killed and Injured Casualties,2006,18 - 20 years,Male,Motor cyclists,Number,26
6948,All Killed and Injured Casualties,2006,18 - 20 years,Male,All Car users,Number,440
6949,All Killed and Injured Casualties,2006,18 - 20 years,Male,Car drivers,Number,279
6950,All Killed and Injured Casualties,2006,18 - 20 years,Male,Car passengers,Number,161
6951,All Killed and Injured Casualties,2006,18 - 20 years,Male,Other road users,Number,58
6953,All Killed and Injured Casualties,2006,18 - 20 years,Female,Pedestrians,Number,32
6954,All Killed and Injured Casualties,2006,18 - 20 years,Female,Pedal cyclists,Number,1
6955,All Killed and Injured Casualties,2006,18 - 20 years,Female,Motor cyclists,Number,3
6956,All Killed and Injured Casualties,2006,18 - 20 years,Female,All Car users,Number,302
6957,All Killed and Injured Casualties,2006,18 - 20 years,Female,Car drivers,Number,137
6958,All Killed and Injured Casualties,2006,18 - 20 years,Female,Car passengers,Number,165
6959,All Killed and Injured Casualties,2006,18 - 20 years,Female,Other road users,Number,12
6961,All Killed and Injured Casualties,2006,21 - 24 years,Male,Pedestrians,Number,50
6962,All Killed and Injured Casualties,2006,21 - 24 years,Male,Pedal cyclists,Number,9
6963,All Killed and Injured Casualties,2006,21 - 24 years,Male,Motor cyclists,Number,43
6964,All Killed and Injured Casualties,2006,21 - 24 years,Male,All Car users,Number,463
6965,All Killed and Injured Casualties,2006,21 - 24 years,Male,Car drivers,Number,325
6966,All Killed and Injured Casualties,2006,21 - 24 years,Male,Car passengers,Number,138
6967,All Killed and Injured Casualties,2006,21 - 24 years,Male,Other road users,Number,85
6969,All Killed and Injured Casualties,2006,21 - 24 years,Female,Pedestrians,Number,26
6970,All Killed and Injured Casualties,2006,21 - 24 years,Female,Pedal cyclists,Number,4
6971,All Killed and Injured Casualties,2006,21 - 24 years,Female,Motor cyclists,Number,6
6972,All Killed and Injured Casualties,2006,21 - 24 years,Female,All Car users,Number,312
6973,All Killed and Injured Casualties,2006,21 - 24 years,Female,Car drivers,Number,206
6974,All Killed and Injured Casualties,2006,21 - 24 years,Female,Car passengers,Number,106
6975,All Killed and Injured Casualties,2006,21 - 24 years,Female,Other road users,Number,14
6977,All Killed and Injured Casualties,2006,25 - 34 years,Male,Pedestrians,Number,69
6978,All Killed and Injured Casualties,2006,25 - 34 years,Male,Pedal cyclists,Number,39
6979,All Killed and Injured Casualties,2006,25 - 34 years,Male,Motor cyclists,Number,165
6980,All Killed and Injured Casualties,2006,25 - 34 years,Male,All Car users,Number,658
6981,All Killed and Injured Casualties,2006,25 - 34 years,Male,Car drivers,Number,496
6982,All Killed and Injured Casualties,2006,25 - 34 years,Male,Car passengers,Number,162
6983,All Killed and Injured Casualties,2006,25 - 34 years,Male,Other road users,Number,206
6985,All Killed and Injured Casualties,2006,25 - 34 years,Female,Pedestrians,Number,45
6986,All Killed and Injured Casualties,2006,25 - 34 years,Female,Pedal cyclists,Number,14
6987,All Killed and Injured Casualties,2006,25 - 34 years,Female,Motor cyclists,Number,20
6988,All Killed and Injured Casualties,2006,25 - 34 years,Female,All Car users,Number,608
6989,All Killed and Injured Casualties,2006,25 - 34 years,Female,Car drivers,Number,468
6990,All Killed and Injured Casualties,2006,25 - 34 years,Female,Car passengers,Number,140
6991,All Killed and Injured Casualties,2006,25 - 34 years,Female,Other road users,Number,28
6993,All Killed and Injured Casualties,2006,35 - 44 years,Male,Pedestrians,Number,62
6994,All Killed and Injured Casualties,2006,35 - 44 years,Male,Pedal cyclists,Number,25
6995,All Killed and Injured Casualties,2006,35 - 44 years,Male,Motor cyclists,Number,108
6996,All Killed and Injured Casualties,2006,35 - 44 years,Male,All Car users,Number,356
6997,All Killed and Injured Casualties,2006,35 - 44 years,Male,Car drivers,Number,308
6998,All Killed and Injured Casualties,2006,35 - 44 years,Male,Car passengers,Number,48
6999,All Killed and Injured Casualties,2006,35 - 44 years,Male,Other road users,Number,147
7001,All Killed and Injured Casualties,2006,35 - 44 years,Female,Pedestrians,Number,29
7002,All Killed and Injured Casualties,2006,35 - 44 years,Female,Pedal cyclists,Number,5
7003,All Killed and Injured Casualties,2006,35 - 44 years,Female,Motor cyclists,Number,7
7004,All Killed and Injured Casualties,2006,35 - 44 years,Female,All Car users,Number,407
7005,All Killed and Injured Casualties,2006,35 - 44 years,Female,Car drivers,Number,338
7006,All Killed and Injured Casualties,2006,35 - 44 years,Female,Car passengers,Number,69
7007,All Killed and Injured Casualties,2006,35 - 44 years,Female,Other road users,Number,21
7009,All Killed and Injured Casualties,2006,45 - 54 years,Male,Pedestrians,Number,48
7010,All Killed and Injured Casualties,2006,45 - 54 years,Male,Pedal cyclists,Number,15
7011,All Killed and Injured Casualties,2006,45 - 54 years,Male,Motor cyclists,Number,37
7012,All Killed and Injured Casualties,2006,45 - 54 years,Male,All Car users,Number,233
7013,All Killed and Injured Casualties,2006,45 - 54 years,Male,Car drivers,Number,204
7014,All Killed and Injured Casualties,2006,45 - 54 years,Male,Car passengers,Number,29
7015,All Killed and Injured Casualties,2006,45 - 54 years,Male,Other road users,Number,105
7017,All Killed and Injured Casualties,2006,45 - 54 years,Female,Pedestrians,Number,29
7018,All Killed and Injured Casualties,2006,45 - 54 years,Female,Pedal cyclists,Number,7
7019,All Killed and Injured Casualties,2006,45 - 54 years,Female,Motor cyclists,Number,5
7020,All Killed and Injured Casualties,2006,45 - 54 years,Female,All Car users,Number,317
7021,All Killed and Injured Casualties,2006,45 - 54 years,Female,Car drivers,Number,242
7022,All Killed and Injured Casualties,2006,45 - 54 years,Female,Car passengers,Number,75
7023,All Killed and Injured Casualties,2006,45 - 54 years,Female,Other road users,Number,14
7025,All Killed and Injured Casualties,2006,55 - 64 years,Male,Pedestrians,Number,44
7026,All Killed and Injured Casualties,2006,55 - 64 years,Male,Pedal cyclists,Number,10
7027,All Killed and Injured Casualties,2006,55 - 64 years,Male,Motor cyclists,Number,15
7028,All Killed and Injured Casualties,2006,55 - 64 years,Male,All Car users,Number,160
7029,All Killed and Injured Casualties,2006,55 - 64 years,Male,Car drivers,Number,142
7030,All Killed and Injured Casualties,2006,55 - 64 years,Male,Car passengers,Number,18
7031,All Killed and Injured Casualties,2006,55 - 64 years,Male,Other road users,Number,63
7033,All Killed and Injured Casualties,2006,55 - 64 years,Female,Pedestrians,Number,32
7034,All Killed and Injured Casualties,2006,55 - 64 years,Female,Pedal cyclists,Number,2
7035,All Killed and Injured Casualties,2006,55 - 64 years,Female,Motor cyclists,Number,0
7036,All Killed and Injured Casualties,2006,55 - 64 years,Female,All Car users,Number,201
7037,All Killed and Injured Casualties,2006,55 - 64 years,Female,Car drivers,Number,123
7038,All Killed and Injured Casualties,2006,55 - 64 years,Female,Car passengers,Number,78
7039,All Killed and Injured Casualties,2006,55 - 64 years,Female,Other road users,Number,10
7041,All Killed and Injured Casualties,2006,65 years and over,Male,Pedestrians,Number,60
7042,All Killed and Injured Casualties,2006,65 years and over,Male,Pedal cyclists,Number,9
7043,All Killed and Injured Casualties,2006,65 years and over,Male,Motor cyclists,Number,4
7044,All Killed and Injured Casualties,2006,65 years and over,Male,All Car users,Number,170
7045,All Killed and Injured Casualties,2006,65 years and over,Male,Car drivers,Number,147
7046,All Killed and Injured Casualties,2006,65 years and over,Male,Car passengers,Number,23
7047,All Killed and Injured Casualties,2006,65 years and over,Male,Other road users,Number,34
7049,All Killed and Injured Casualties,2006,65 years and over,Female,Pedestrians,Number,85
7050,All Killed and Injured Casualties,2006,65 years and over,Female,Pedal cyclists,Number,0
7051,All Killed and Injured Casualties,2006,65 years and over,Female,Motor cyclists,Number,2
7052,All Killed and Injured Casualties,2006,65 years and over,Female,All Car users,Number,198
7053,All Killed and Injured Casualties,2006,65 years and over,Female,Car drivers,Number,106
7054,All Killed and Injured Casualties,2006,65 years and over,Female,Car passengers,Number,92
7055,All Killed and Injured Casualties,2006,65 years and over,Female,Other road users,Number,16
7089,All Killed and Injured Casualties,2007,0 - 5 years,Male,Pedestrians,Number,28
7090,All Killed and Injured Casualties,2007,0 - 5 years,Male,Pedal cyclists,Number,2
7091,All Killed and Injured Casualties,2007,0 - 5 years,Male,Motor cyclists,Number,0
7092,All Killed and Injured Casualties,2007,0 - 5 years,Male,All Car users,Number,71
7093,All Killed and Injured Casualties,2007,0 - 5 years,Male,Car drivers,Number,0
7094,All Killed and Injured Casualties,2007,0 - 5 years,Male,Car passengers,Number,71
7095,All Killed and Injured Casualties,2007,0 - 5 years,Male,Other road users,Number,2
7097,All Killed and Injured Casualties,2007,0 - 5 years,Female,Pedestrians,Number,22
7098,All Killed and Injured Casualties,2007,0 - 5 years,Female,Pedal cyclists,Number,1
7099,All Killed and Injured Casualties,2007,0 - 5 years,Female,Motor cyclists,Number,0
7100,All Killed and Injured Casualties,2007,0 - 5 years,Female,All Car users,Number,79
7101,All Killed and Injured Casualties,2007,0 - 5 years,Female,Car drivers,Number,0
7102,All Killed and Injured Casualties,2007,0 - 5 years,Female,Car passengers,Number,79
7103,All Killed and Injured Casualties,2007,0 - 5 years,Female,Other road users,Number,0
7105,All Killed and Injured Casualties,2007,6 - 9 years,Male,Pedestrians,Number,50
7106,All Killed and Injured Casualties,2007,6 - 9 years,Male,Pedal cyclists,Number,6
7107,All Killed and Injured Casualties,2007,6 - 9 years,Male,Motor cyclists,Number,0
7108,All Killed and Injured Casualties,2007,6 - 9 years,Male,All Car users,Number,38
7109,All Killed and Injured Casualties,2007,6 - 9 years,Male,Car drivers,Number,0
7110,All Killed and Injured Casualties,2007,6 - 9 years,Male,Car passengers,Number,38
7111,All Killed and Injured Casualties,2007,6 - 9 years,Male,Other road users,Number,7
7113,All Killed and Injured Casualties,2007,6 - 9 years,Female,Pedestrians,Number,22
7114,All Killed and Injured Casualties,2007,6 - 9 years,Female,Pedal cyclists,Number,4
7115,All Killed and Injured Casualties,2007,6 - 9 years,Female,Motor cyclists,Number,1
7116,All Killed and Injured Casualties,2007,6 - 9 years,Female,All Car users,Number,37
7117,All Killed and Injured Casualties,2007,6 - 9 years,Female,Car drivers,Number,0
7118,All Killed and Injured Casualties,2007,6 - 9 years,Female,Car passengers,Number,37
7119,All Killed and Injured Casualties,2007,6 - 9 years,Female,Other road users,Number,2
