,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
2280,Killed Casualties,2015,Age unknown,Female,All road users,Number,0
2304,Killed Casualties,2016,0 - 5 years,Male,All road users,Number,1
2312,Killed Casualties,2016,0 - 5 years,Female,All road users,Number,1
2320,Killed Casualties,2016,6 - 9 years,Male,All road users,Number,0
2328,Killed Casualties,2016,6 - 9 years,Female,All road users,Number,0
2336,Killed Casualties,2016,10 - 14 years,Male,All road users,Number,7
2344,Killed Casualties,2016,10 - 14 years,Female,All road users,Number,0
2352,Killed Casualties,2016,15 - 17 years,Male,All road users,Number,2
2360,Killed Casualties,2016,15 - 17 years,Female,All road users,Number,1
2368,Killed Casualties,2016,18 - 20 years,Male,All road users,Number,14
2376,Killed Casualties,2016,18 - 20 years,Female,All road users,Number,4
2384,Killed Casualties,2016,21 - 24 years,Male,All road users,Number,13
2392,Killed Casualties,2016,21 - 24 years,Female,All road users,Number,1
2400,Killed Casualties,2016,25 - 34 years,Male,All road users,Number,25
2408,Killed Casualties,2016,25 - 34 years,Female,All road users,Number,11
2416,Killed Casualties,2016,35 - 44 years,Male,All road users,Number,24
2424,Killed Casualties,2016,35 - 44 years,Female,All road users,Number,7
2432,Killed Casualties,2016,45 - 54 years,Male,All road users,Number,14
2440,Killed Casualties,2016,45 - 54 years,Female,All road users,Number,2
2448,Killed Casualties,2016,55 - 64 years,Male,All road users,Number,10
2456,Killed Casualties,2016,55 - 64 years,Female,All road users,Number,4
2464,Killed Casualties,2016,65 years and over,Male,All road users,Number,28
2472,Killed Casualties,2016,65 years and over,Female,All road users,Number,17
2480,Killed Casualties,2016,Age unknown,Male,All road users,Number,0
2488,Killed Casualties,2016,Age unknown,Female,All road users,Number,0
2512,Killed Casualties,2017,0 - 5 years,Male,All road users,Number,0
2520,Killed Casualties,2017,0 - 5 years,Female,All road users,Number,1
2528,Killed Casualties,2017,6 - 9 years,Male,All road users,Number,3
2536,Killed Casualties,2017,6 - 9 years,Female,All road users,Number,0
2544,Killed Casualties,2017,10 - 14 years,Male,All road users,Number,0
2552,Killed Casualties,2017,10 - 14 years,Female,All road users,Number,0
2560,Killed Casualties,2017,15 - 17 years,Male,All road users,Number,4
2568,Killed Casualties,2017,15 - 17 years,Female,All road users,Number,0
2576,Killed Casualties,2017,18 - 20 years,Male,All road users,Number,9
2584,Killed Casualties,2017,18 - 20 years,Female,All road users,Number,2
2592,Killed Casualties,2017,21 - 24 years,Male,All road users,Number,11
2600,Killed Casualties,2017,21 - 24 years,Female,All road users,Number,0
2608,Killed Casualties,2017,25 - 34 years,Male,All road users,Number,28
2616,Killed Casualties,2017,25 - 34 years,Female,All road users,Number,5
2624,Killed Casualties,2017,35 - 44 years,Male,All road users,Number,19
2632,Killed Casualties,2017,35 - 44 years,Female,All road users,Number,5
2640,Killed Casualties,2017,45 - 54 years,Male,All road users,Number,17
2648,Killed Casualties,2017,45 - 54 years,Female,All road users,Number,5
2656,Killed Casualties,2017,55 - 64 years,Male,All road users,Number,9
2664,Killed Casualties,2017,55 - 64 years,Female,All road users,Number,4
2672,Killed Casualties,2017,65 years and over,Male,All road users,Number,16
2680,Killed Casualties,2017,65 years and over,Female,All road users,Number,18
2688,Killed Casualties,2017,Age unknown,Male,All road users,Number,0
2696,Killed Casualties,2017,Age unknown,Female,All road users,Number,0
2720,Killed Casualties,2018,0 - 5 years,Male,All road users,Number,0
2728,Killed Casualties,2018,0 - 5 years,Female,All road users,Number,1
2736,Killed Casualties,2018,6 - 9 years,Male,All road users,Number,0
2744,Killed Casualties,2018,6 - 9 years,Female,All road users,Number,0
2752,Killed Casualties,2018,10 - 14 years,Male,All road users,Number,2
2760,Killed Casualties,2018,10 - 14 years,Female,All road users,Number,0
2768,Killed Casualties,2018,15 - 17 years,Male,All road users,Number,4
2776,Killed Casualties,2018,15 - 17 years,Female,All road users,Number,1
2784,Killed Casualties,2018,18 - 20 years,Male,All road users,Number,7
2792,Killed Casualties,2018,18 - 20 years,Female,All road users,Number,2
2800,Killed Casualties,2018,21 - 24 years,Male,All road users,Number,13
2808,Killed Casualties,2018,21 - 24 years,Female,All road users,Number,0
2816,Killed Casualties,2018,25 - 34 years,Male,All road users,Number,16
2824,Killed Casualties,2018,25 - 34 years,Female,All road users,Number,2
2832,Killed Casualties,2018,35 - 44 years,Male,All road users,Number,14
2840,Killed Casualties,2018,35 - 44 years,Female,All road users,Number,2
2848,Killed Casualties,2018,45 - 54 years,Male,All road users,Number,18
2856,Killed Casualties,2018,45 - 54 years,Female,All road users,Number,3
2864,Killed Casualties,2018,55 - 64 years,Male,All road users,Number,16
2872,Killed Casualties,2018,55 - 64 years,Female,All road users,Number,9
2880,Killed Casualties,2018,65 years and over,Male,All road users,Number,19
2888,Killed Casualties,2018,65 years and over,Female,All road users,Number,10
2896,Killed Casualties,2018,Age unknown,Male,All road users,Number,0
2904,Killed Casualties,2018,Age unknown,Female,All road users,Number,0
2928,Killed Casualties,2019,0 - 5 years,Male,All road users,Number,2
2936,Killed Casualties,2019,0 - 5 years,Female,All road users,Number,0
2944,Killed Casualties,2019,6 - 9 years,Male,All road users,Number,1
2952,Killed Casualties,2019,6 - 9 years,Female,All road users,Number,0
2960,Killed Casualties,2019,10 - 14 years,Male,All road users,Number,0
2968,Killed Casualties,2019,10 - 14 years,Female,All road users,Number,1
2976,Killed Casualties,2019,15 - 17 years,Male,All road users,Number,2
2984,Killed Casualties,2019,15 - 17 years,Female,All road users,Number,0
2992,Killed Casualties,2019,18 - 20 years,Male,All road users,Number,6
3000,Killed Casualties,2019,18 - 20 years,Female,All road users,Number,1
3008,Killed Casualties,2019,21 - 24 years,Male,All road users,Number,15
3016,Killed Casualties,2019,21 - 24 years,Female,All road users,Number,1
3024,Killed Casualties,2019,25 - 34 years,Male,All road users,Number,19
3032,Killed Casualties,2019,25 - 34 years,Female,All road users,Number,5
3040,Killed Casualties,2019,35 - 44 years,Male,All road users,Number,14
3048,Killed Casualties,2019,35 - 44 years,Female,All road users,Number,3
3056,Killed Casualties,2019,45 - 54 years,Male,All road users,Number,14
3064,Killed Casualties,2019,45 - 54 years,Female,All road users,Number,5
3072,Killed Casualties,2019,55 - 64 years,Male,All road users,Number,10
3080,Killed Casualties,2019,55 - 64 years,Female,All road users,Number,4
3088,Killed Casualties,2019,65 years and over,Male,All road users,Number,22
3096,Killed Casualties,2019,65 years and over,Female,All road users,Number,15
3104,Killed Casualties,2019,Age unknown,Male,All road users,Number,0
3112,Killed Casualties,2019,Age unknown,Female,All road users,Number,0
3136,Injured Cassualties,2005,0 - 5 years,Male,All road users,Number,93
3144,Injured Cassualties,2005,0 - 5 years,Female,All road users,Number,72
3152,Injured Cassualties,2005,6 - 9 years,Male,All road users,Number,96
3160,Injured Cassualties,2005,6 - 9 years,Female,All road users,Number,62
3168,Injured Cassualties,2005,10 - 14 years,Male,All road users,Number,135
3176,Injured Cassualties,2005,10 - 14 years,Female,All road users,Number,102
3184,Injured Cassualties,2005,15 - 17 years,Male,All road users,Number,243
3192,Injured Cassualties,2005,15 - 17 years,Female,All road users,Number,154
3200,Injured Cassualties,2005,18 - 20 years,Male,All road users,Number,594
3208,Injured Cassualties,2005,18 - 20 years,Female,All road users,Number,319
3216,Injured Cassualties,2005,21 - 24 years,Male,All road users,Number,641
3224,Injured Cassualties,2005,21 - 24 years,Female,All road users,Number,373
3232,Injured Cassualties,2005,25 - 34 years,Male,All road users,Number,1105
3240,Injured Cassualties,2005,25 - 34 years,Female,All road users,Number,712
3248,Injured Cassualties,2005,35 - 44 years,Male,All road users,Number,667
3256,Injured Cassualties,2005,35 - 44 years,Female,All road users,Number,432
3264,Injured Cassualties,2005,45 - 54 years,Male,All road users,Number,429
3272,Injured Cassualties,2005,45 - 54 years,Female,All road users,Number,338
3280,Injured Cassualties,2005,55 - 64 years,Male,All road users,Number,285
3288,Injured Cassualties,2005,55 - 64 years,Female,All road users,Number,219
3296,Injured Cassualties,2005,65 years and over,Male,All road users,Number,271
3304,Injured Cassualties,2005,65 years and over,Female,All road users,Number,248
3312,Injured Cassualties,2005,Age unknown,Male,All road users,Number,129
3320,Injured Cassualties,2005,Age unknown,Female,All road users,Number,100
3344,Injured Cassualties,2006,0 - 5 years,Male,All road users,Number,89
3352,Injured Cassualties,2006,0 - 5 years,Female,All road users,Number,73
3360,Injured Cassualties,2006,6 - 9 years,Male,All road users,Number,80
3368,Injured Cassualties,2006,6 - 9 years,Female,All road users,Number,77
3376,Injured Cassualties,2006,10 - 14 years,Male,All road users,Number,120
3384,Injured Cassualties,2006,10 - 14 years,Female,All road users,Number,101
3392,Injured Cassualties,2006,15 - 17 years,Male,All road users,Number,229
3400,Injured Cassualties,2006,15 - 17 years,Female,All road users,Number,177
3408,Injured Cassualties,2006,18 - 20 years,Male,All road users,Number,532
3416,Injured Cassualties,2006,18 - 20 years,Female,All road users,Number,338
3424,Injured Cassualties,2006,21 - 24 years,Male,All road users,Number,604
3432,Injured Cassualties,2006,21 - 24 years,Female,All road users,Number,354
3440,Injured Cassualties,2006,25 - 34 years,Male,All road users,Number,1073
3448,Injured Cassualties,2006,25 - 34 years,Female,All road users,Number,700
3456,Injured Cassualties,2006,35 - 44 years,Male,All road users,Number,668
3464,Injured Cassualties,2006,35 - 44 years,Female,All road users,Number,461
3472,Injured Cassualties,2006,45 - 54 years,Male,All road users,Number,421
3480,Injured Cassualties,2006,45 - 54 years,Female,All road users,Number,367
3488,Injured Cassualties,2006,55 - 64 years,Male,All road users,Number,269
3496,Injured Cassualties,2006,55 - 64 years,Female,All road users,Number,240
3504,Injured Cassualties,2006,65 years and over,Male,All road users,Number,246
3512,Injured Cassualties,2006,65 years and over,Female,All road users,Number,269
3520,Injured Cassualties,2006,Age unknown,Male,All road users,Number,135
3528,Injured Cassualties,2006,Age unknown,Female,All road users,Number,111
3552,Injured Cassualties,2007,0 - 5 years,Male,All road users,Number,101
3560,Injured Cassualties,2007,0 - 5 years,Female,All road users,Number,96
3568,Injured Cassualties,2007,6 - 9 years,Male,All road users,Number,101
3576,Injured Cassualties,2007,6 - 9 years,Female,All road users,Number,65
3584,Injured Cassualties,2007,10 - 14 years,Male,All road users,Number,132
3592,Injured Cassualties,2007,10 - 14 years,Female,All road users,Number,103
3600,Injured Cassualties,2007,15 - 17 years,Male,All road users,Number,212
