,Statistic,Year,Month of Year,UNIT,VALUE
184,Fatal Collisions,2019,February,Number,14
185,Fatal Collisions,2019,March,Number,9
186,Fatal Collisions,2019,April,Number,9
187,Fatal Collisions,2019,May,Number,8
188,Fatal Collisions,2019,June,Number,11
189,Fatal Collisions,2019,July,Number,8
190,Fatal Collisions,2019,August,Number,8
191,Fatal Collisions,2019,September,Number,17
192,Fatal Collisions,2019,October,Number,10
193,Fatal Collisions,2019,November,Number,11
194,Fatal Collisions,2019,December,Number,14
196,Injury Collisions,2005,January,Number,442
197,Injury Collisions,2005,February,Number,427
198,Injury Collisions,2005,March,Number,475
199,Injury Collisions,2005,April,Number,509
200,Injury Collisions,2005,May,Number,525
201,Injury Collisions,2005,June,Number,504
202,Injury Collisions,2005,July,Number,534
203,Injury Collisions,2005,August,Number,535
204,Injury Collisions,2005,September,Number,539
205,Injury Collisions,2005,October,Number,566
206,Injury Collisions,2005,November,Number,572
207,Injury Collisions,2005,December,Number,545
209,Injury Collisions,2006,January,Number,488
210,Injury Collisions,2006,February,Number,380
211,Injury Collisions,2006,March,Number,442
212,Injury Collisions,2006,April,Number,373
213,Injury Collisions,2006,May,Number,462
214,Injury Collisions,2006,June,Number,440
215,Injury Collisions,2006,July,Number,479
216,Injury Collisions,2006,August,Number,506
217,Injury Collisions,2006,September,Number,497
218,Injury Collisions,2006,October,Number,537
219,Injury Collisions,2006,November,Number,514
220,Injury Collisions,2006,December,Number,579
222,Injury Collisions,2007,January,Number,438
223,Injury Collisions,2007,February,Number,397
224,Injury Collisions,2007,March,Number,438
225,Injury Collisions,2007,April,Number,361
226,Injury Collisions,2007,May,Number,423
227,Injury Collisions,2007,June,Number,420
228,Injury Collisions,2007,July,Number,471
229,Injury Collisions,2007,August,Number,462
230,Injury Collisions,2007,September,Number,430
231,Injury Collisions,2007,October,Number,451
232,Injury Collisions,2007,November,Number,449
233,Injury Collisions,2007,December,Number,418
235,Injury Collisions,2008,January,Number,544
236,Injury Collisions,2008,February,Number,563
237,Injury Collisions,2008,March,Number,535
238,Injury Collisions,2008,April,Number,518
239,Injury Collisions,2008,May,Number,574
240,Injury Collisions,2008,June,Number,508
241,Injury Collisions,2008,July,Number,501
242,Injury Collisions,2008,August,Number,483
243,Injury Collisions,2008,September,Number,542
244,Injury Collisions,2008,October,Number,558
245,Injury Collisions,2008,November,Number,585
246,Injury Collisions,2008,December,Number,571
248,Injury Collisions,2009,January,Number,548
249,Injury Collisions,2009,February,Number,421
250,Injury Collisions,2009,March,Number,471
251,Injury Collisions,2009,April,Number,517
252,Injury Collisions,2009,May,Number,558
253,Injury Collisions,2009,June,Number,519
254,Injury Collisions,2009,July,Number,611
255,Injury Collisions,2009,August,Number,572
256,Injury Collisions,2009,September,Number,520
257,Injury Collisions,2009,October,Number,561
258,Injury Collisions,2009,November,Number,561
259,Injury Collisions,2009,December,Number,536
261,Injury Collisions,2010,January,Number,405
262,Injury Collisions,2010,February,Number,417
263,Injury Collisions,2010,March,Number,474
264,Injury Collisions,2010,April,Number,454
265,Injury Collisions,2010,May,Number,502
266,Injury Collisions,2010,June,Number,463
267,Injury Collisions,2010,July,Number,509
268,Injury Collisions,2010,August,Number,493
269,Injury Collisions,2010,September,Number,520
270,Injury Collisions,2010,October,Number,566
271,Injury Collisions,2010,November,Number,495
272,Injury Collisions,2010,December,Number,297
274,Injury Collisions,2011,January,Number,411
275,Injury Collisions,2011,February,Number,387
276,Injury Collisions,2011,March,Number,407
277,Injury Collisions,2011,April,Number,373
278,Injury Collisions,2011,May,Number,358
279,Injury Collisions,2011,June,Number,451
280,Injury Collisions,2011,July,Number,444
281,Injury Collisions,2011,August,Number,468
282,Injury Collisions,2011,September,Number,443
283,Injury Collisions,2011,October,Number,468
284,Injury Collisions,2011,November,Number,455
285,Injury Collisions,2011,December,Number,393
287,Injury Collisions,2012,January,Number,447
288,Injury Collisions,2012,February,Number,396
289,Injury Collisions,2012,March,Number,478
290,Injury Collisions,2012,April,Number,455
291,Injury Collisions,2012,May,Number,442
292,Injury Collisions,2012,June,Number,446
293,Injury Collisions,2012,July,Number,460
294,Injury Collisions,2012,August,Number,464
295,Injury Collisions,2012,September,Number,469
296,Injury Collisions,2012,October,Number,487
297,Injury Collisions,2012,November,Number,468
298,Injury Collisions,2012,December,Number,446
300,Injury Collisions,2013,January,Number,427
301,Injury Collisions,2013,February,Number,341
302,Injury Collisions,2013,March,Number,349
303,Injury Collisions,2013,April,Number,328
304,Injury Collisions,2013,May,Number,377
305,Injury Collisions,2013,June,Number,408
306,Injury Collisions,2013,July,Number,446
307,Injury Collisions,2013,August,Number,398
308,Injury Collisions,2013,September,Number,419
309,Injury Collisions,2013,October,Number,455
310,Injury Collisions,2013,November,Number,420
311,Injury Collisions,2013,December,Number,429
313,Injury Collisions,2014,January,Number,430
314,Injury Collisions,2014,February,Number,397
315,Injury Collisions,2014,March,Number,407
316,Injury Collisions,2014,April,Number,443
317,Injury Collisions,2014,May,Number,452
318,Injury Collisions,2014,June,Number,466
319,Injury Collisions,2014,July,Number,470
320,Injury Collisions,2014,August,Number,480
321,Injury Collisions,2014,September,Number,496
322,Injury Collisions,2014,October,Number,504
323,Injury Collisions,2014,November,Number,569
324,Injury Collisions,2014,December,Number,504
326,Injury Collisions,2015,January,Number,478
327,Injury Collisions,2015,February,Number,417
328,Injury Collisions,2015,March,Number,460
329,Injury Collisions,2015,April,Number,396
330,Injury Collisions,2015,May,Number,488
331,Injury Collisions,2015,June,Number,465
332,Injury Collisions,2015,July,Number,471
333,Injury Collisions,2015,August,Number,470
334,Injury Collisions,2015,September,Number,502
335,Injury Collisions,2015,October,Number,499
336,Injury Collisions,2015,November,Number,502
337,Injury Collisions,2015,December,Number,528
339,Injury Collisions,2016,January,Number,516
340,Injury Collisions,2016,February,Number,456
341,Injury Collisions,2016,March,Number,415
342,Injury Collisions,2016,April,Number,397
343,Injury Collisions,2016,May,Number,460
344,Injury Collisions,2016,June,Number,475
345,Injury Collisions,2016,July,Number,524
346,Injury Collisions,2016,August,Number,459
347,Injury Collisions,2016,September,Number,527
348,Injury Collisions,2016,October,Number,484
349,Injury Collisions,2016,November,Number,493
350,Injury Collisions,2016,December,Number,511
352,Injury Collisions,2017,January,Number,449
353,Injury Collisions,2017,February,Number,409
354,Injury Collisions,2017,March,Number,510
355,Injury Collisions,2017,April,Number,387
356,Injury Collisions,2017,May,Number,522
357,Injury Collisions,2017,June,Number,483
358,Injury Collisions,2017,July,Number,482
359,Injury Collisions,2017,August,Number,475
360,Injury Collisions,2017,September,Number,546
361,Injury Collisions,2017,October,Number,508
362,Injury Collisions,2017,November,Number,597
363,Injury Collisions,2017,December,Number,546
365,Injury Collisions,2018,January,Number,461
366,Injury Collisions,2018,February,Number,436
367,Injury Collisions,2018,March,Number,428
368,Injury Collisions,2018,April,Number,446
369,Injury Collisions,2018,May,Number,533
370,Injury Collisions,2018,June,Number,521
371,Injury Collisions,2018,July,Number,540
372,Injury Collisions,2018,August,Number,474
373,Injury Collisions,2018,September,Number,508
374,Injury Collisions,2018,October,Number,544
375,Injury Collisions,2018,November,Number,549
376,Injury Collisions,2018,December,Number,534
378,Injury Collisions,2019,January,Number,493
379,Injury Collisions,2019,February,Number,385
380,Injury Collisions,2019,March,Number,483
381,Injury Collisions,2019,April,Number,391
382,Injury Collisions,2019,May,Number,468
383,Injury Collisions,2019,June,Number,466
384,Injury Collisions,2019,July,Number,504
385,Injury Collisions,2019,August,Number,479
386,Injury Collisions,2019,September,Number,534
387,Injury Collisions,2019,October,Number,509
388,Injury Collisions,2019,November,Number,535
389,Injury Collisions,2019,December,Number,451
391,All Fatal and Injury Collisions,2005,January,Number,473
392,All Fatal and Injury Collisions,2005,February,Number,461
393,All Fatal and Injury Collisions,2005,March,Number,498
394,All Fatal and Injury Collisions,2005,April,Number,529
395,All Fatal and Injury Collisions,2005,May,Number,561
396,All Fatal and Injury Collisions,2005,June,Number,524
397,All Fatal and Injury Collisions,2005,July,Number,572
398,All Fatal and Injury Collisions,2005,August,Number,558
399,All Fatal and Injury Collisions,2005,September,Number,568
400,All Fatal and Injury Collisions,2005,October,Number,604
401,All Fatal and Injury Collisions,2005,November,Number,603
402,All Fatal and Injury Collisions,2005,December,Number,582
404,All Fatal and Injury Collisions,2006,January,Number,522
405,All Fatal and Injury Collisions,2006,February,Number,406
406,All Fatal and Injury Collisions,2006,March,Number,467
407,All Fatal and Injury Collisions,2006,April,Number,402
408,All Fatal and Injury Collisions,2006,May,Number,487
409,All Fatal and Injury Collisions,2006,June,Number,471
410,All Fatal and Injury Collisions,2006,July,Number,512
411,All Fatal and Injury Collisions,2006,August,Number,523
412,All Fatal and Injury Collisions,2006,September,Number,518
413,All Fatal and Injury Collisions,2006,October,Number,562
414,All Fatal and Injury Collisions,2006,November,Number,538
415,All Fatal and Injury Collisions,2006,December,Number,610
417,All Fatal and Injury Collisions,2007,January,Number,459
418,All Fatal and Injury Collisions,2007,February,Number,421
419,All Fatal and Injury Collisions,2007,March,Number,470
420,All Fatal and Injury Collisions,2007,April,Number,386
421,All Fatal and Injury Collisions,2007,May,Number,442
422,All Fatal and Injury Collisions,2007,June,Number,448
423,All Fatal and Injury Collisions,2007,July,Number,501
424,All Fatal and Injury Collisions,2007,August,Number,486
425,All Fatal and Injury Collisions,2007,September,Number,456
426,All Fatal and Injury Collisions,2007,October,Number,475
427,All Fatal and Injury Collisions,2007,November,Number,469
428,All Fatal and Injury Collisions,2007,December,Number,454
430,All Fatal and Injury Collisions,2008,January,Number,569
431,All Fatal and Injury Collisions,2008,February,Number,590
432,All Fatal and Injury Collisions,2008,March,Number,553
433,All Fatal and Injury Collisions,2008,April,Number,537
434,All Fatal and Injury Collisions,2008,May,Number,590
435,All Fatal and Injury Collisions,2008,June,Number,531
436,All Fatal and Injury Collisions,2008,July,Number,525
437,All Fatal and Injury Collisions,2008,August,Number,508
438,All Fatal and Injury Collisions,2008,September,Number,561
439,All Fatal and Injury Collisions,2008,October,Number,579
440,All Fatal and Injury Collisions,2008,November,Number,605
441,All Fatal and Injury Collisions,2008,December,Number,588
443,All Fatal and Injury Collisions,2009,January,Number,565
444,All Fatal and Injury Collisions,2009,February,Number,433
445,All Fatal and Injury Collisions,2009,March,Number,493
446,All Fatal and Injury Collisions,2009,April,Number,536
447,All Fatal and Injury Collisions,2009,May,Number,583
448,All Fatal and Injury Collisions,2009,June,Number,534
449,All Fatal and Injury Collisions,2009,July,Number,628
450,All Fatal and Injury Collisions,2009,August,Number,591
451,All Fatal and Injury Collisions,2009,September,Number,534
452,All Fatal and Injury Collisions,2009,October,Number,582
453,All Fatal and Injury Collisions,2009,November,Number,582
454,All Fatal and Injury Collisions,2009,December,Number,554
456,All Fatal and Injury Collisions,2010,January,Number,419
457,All Fatal and Injury Collisions,2010,February,Number,431
458,All Fatal and Injury Collisions,2010,March,Number,486
459,All Fatal and Injury Collisions,2010,April,Number,471
460,All Fatal and Injury Collisions,2010,May,Number,527
461,All Fatal and Injury Collisions,2010,June,Number,474
462,All Fatal and Injury Collisions,2010,July,Number,522
463,All Fatal and Injury Collisions,2010,August,Number,508
464,All Fatal and Injury Collisions,2010,September,Number,531
465,All Fatal and Injury Collisions,2010,October,Number,600
466,All Fatal and Injury Collisions,2010,November,Number,508
467,All Fatal and Injury Collisions,2010,December,Number,303
469,All Fatal and Injury Collisions,2011,January,Number,427
470,All Fatal and Injury Collisions,2011,February,Number,405
471,All Fatal and Injury Collisions,2011,March,Number,421
472,All Fatal and Injury Collisions,2011,April,Number,381
473,All Fatal and Injury Collisions,2011,May,Number,368
474,All Fatal and Injury Collisions,2011,June,Number,465
475,All Fatal and Injury Collisions,2011,July,Number,461
476,All Fatal and Injury Collisions,2011,August,Number,482
477,All Fatal and Injury Collisions,2011,September,Number,456
478,All Fatal and Injury Collisions,2011,October,Number,482
479,All Fatal and Injury Collisions,2011,November,Number,473
480,All Fatal and Injury Collisions,2011,December,Number,409
482,All Fatal and Injury Collisions,2012,January,Number,457
483,All Fatal and Injury Collisions,2012,February,Number,409
484,All Fatal and Injury Collisions,2012,March,Number,489
485,All Fatal and Injury Collisions,2012,April,Number,471
486,All Fatal and Injury Collisions,2012,May,Number,454
487,All Fatal and Injury Collisions,2012,June,Number,470
488,All Fatal and Injury Collisions,2012,July,Number,475
489,All Fatal and Injury Collisions,2012,August,Number,472
490,All Fatal and Injury Collisions,2012,September,Number,479
491,All Fatal and Injury Collisions,2012,October,Number,500
492,All Fatal and Injury Collisions,2012,November,Number,476
493,All Fatal and Injury Collisions,2012,December,Number,458
495,All Fatal and Injury Collisions,2013,January,Number,445
496,All Fatal and Injury Collisions,2013,February,Number,354
497,All Fatal and Injury Collisions,2013,March,Number,363
498,All Fatal and Injury Collisions,2013,April,Number,340
499,All Fatal and Injury Collisions,2013,May,Number,391
500,All Fatal and Injury Collisions,2013,June,Number,421
501,All Fatal and Injury Collisions,2013,July,Number,464
502,All Fatal and Injury Collisions,2013,August,Number,415
503,All Fatal and Injury Collisions,2013,September,Number,435
504,All Fatal and Injury Collisions,2013,October,Number,468
505,All Fatal and Injury Collisions,2013,November,Number,435
506,All Fatal and Injury Collisions,2013,December,Number,445
508,All Fatal and Injury Collisions,2014,January,Number,445
509,All Fatal and Injury Collisions,2014,February,Number,410
510,All Fatal and Injury Collisions,2014,March,Number,421
511,All Fatal and Injury Collisions,2014,April,Number,456
512,All Fatal and Injury Collisions,2014,May,Number,470
513,All Fatal and Injury Collisions,2014,June,Number,480
514,All Fatal and Injury Collisions,2014,July,Number,486
515,All Fatal and Injury Collisions,2014,August,Number,494
516,All Fatal and Injury Collisions,2014,September,Number,507
517,All Fatal and Injury Collisions,2014,October,Number,519
518,All Fatal and Injury Collisions,2014,November,Number,587
519,All Fatal and Injury Collisions,2014,December,Number,521
521,All Fatal and Injury Collisions,2015,January,Number,487
522,All Fatal and Injury Collisions,2015,February,Number,430
523,All Fatal and Injury Collisions,2015,March,Number,471
524,All Fatal and Injury Collisions,2015,April,Number,403
525,All Fatal and Injury Collisions,2015,May,Number,500
526,All Fatal and Injury Collisions,2015,June,Number,478
527,All Fatal and Injury Collisions,2015,July,Number,488
528,All Fatal and Injury Collisions,2015,August,Number,484
529,All Fatal and Injury Collisions,2015,September,Number,518
530,All Fatal and Injury Collisions,2015,October,Number,510
531,All Fatal and Injury Collisions,2015,November,Number,515
532,All Fatal and Injury Collisions,2015,December,Number,547
534,All Fatal and Injury Collisions,2016,January,Number,530
535,All Fatal and Injury Collisions,2016,February,Number,466
536,All Fatal and Injury Collisions,2016,March,Number,431
537,All Fatal and Injury Collisions,2016,April,Number,410
538,All Fatal and Injury Collisions,2016,May,Number,480
539,All Fatal and Injury Collisions,2016,June,Number,487
540,All Fatal and Injury Collisions,2016,July,Number,540
541,All Fatal and Injury Collisions,2016,August,Number,472
542,All Fatal and Injury Collisions,2016,September,Number,544
543,All Fatal and Injury Collisions,2016,October,Number,503
544,All Fatal and Injury Collisions,2016,November,Number,502
545,All Fatal and Injury Collisions,2016,December,Number,526
547,All Fatal and Injury Collisions,2017,January,Number,463
548,All Fatal and Injury Collisions,2017,February,Number,419
549,All Fatal and Injury Collisions,2017,March,Number,529
550,All Fatal and Injury Collisions,2017,April,Number,393
551,All Fatal and Injury Collisions,2017,May,Number,530
552,All Fatal and Injury Collisions,2017,June,Number,496
553,All Fatal and Injury Collisions,2017,July,Number,496
554,All Fatal and Injury Collisions,2017,August,Number,485
555,All Fatal and Injury Collisions,2017,September,Number,556
556,All Fatal and Injury Collisions,2017,October,Number,519
557,All Fatal and Injury Collisions,2017,November,Number,610
558,All Fatal and Injury Collisions,2017,December,Number,558
560,All Fatal and Injury Collisions,2018,January,Number,472
561,All Fatal and Injury Collisions,2018,February,Number,446
562,All Fatal and Injury Collisions,2018,March,Number,441
563,All Fatal and Injury Collisions,2018,April,Number,461
564,All Fatal and Injury Collisions,2018,May,Number,537
565,All Fatal and Injury Collisions,2018,June,Number,536
566,All Fatal and Injury Collisions,2018,July,Number,548
567,All Fatal and Injury Collisions,2018,August,Number,485
568,All Fatal and Injury Collisions,2018,September,Number,518
569,All Fatal and Injury Collisions,2018,October,Number,553
570,All Fatal and Injury Collisions,2018,November,Number,560
571,All Fatal and Injury Collisions,2018,December,Number,549
573,All Fatal and Injury Collisions,2019,January,Number,503
574,All Fatal and Injury Collisions,2019,February,Number,399
575,All Fatal and Injury Collisions,2019,March,Number,492
576,All Fatal and Injury Collisions,2019,April,Number,400
577,All Fatal and Injury Collisions,2019,May,Number,476
578,All Fatal and Injury Collisions,2019,June,Number,477
579,All Fatal and Injury Collisions,2019,July,Number,512
580,All Fatal and Injury Collisions,2019,August,Number,487
581,All Fatal and Injury Collisions,2019,September,Number,551
582,All Fatal and Injury Collisions,2019,October,Number,519
583,All Fatal and Injury Collisions,2019,November,Number,546
584,All Fatal and Injury Collisions,2019,December,Number,465
586,Killed Casualties,2005,January,Number,33
587,Killed Casualties,2005,February,Number,37
588,Killed Casualties,2005,March,Number,26
589,Killed Casualties,2005,April,Number,23
590,Killed Casualties,2005,May,Number,41
591,Killed Casualties,2005,June,Number,22
592,Killed Casualties,2005,July,Number,41
593,Killed Casualties,2005,August,Number,24
594,Killed Casualties,2005,September,Number,31
595,Killed Casualties,2005,October,Number,44
596,Killed Casualties,2005,November,Number,34
597,Killed Casualties,2005,December,Number,40
599,Killed Casualties,2006,January,Number,40
600,Killed Casualties,2006,February,Number,31
601,Killed Casualties,2006,March,Number,27
602,Killed Casualties,2006,April,Number,37
603,Killed Casualties,2006,May,Number,30
604,Killed Casualties,2006,June,Number,32
605,Killed Casualties,2006,July,Number,38
606,Killed Casualties,2006,August,Number,17
607,Killed Casualties,2006,September,Number,23
608,Killed Casualties,2006,October,Number,32
609,Killed Casualties,2006,November,Number,27
610,Killed Casualties,2006,December,Number,31
612,Killed Casualties,2007,January,Number,22
613,Killed Casualties,2007,February,Number,25
614,Killed Casualties,2007,March,Number,34
615,Killed Casualties,2007,April,Number,30
616,Killed Casualties,2007,May,Number,24
617,Killed Casualties,2007,June,Number,29
618,Killed Casualties,2007,July,Number,31
619,Killed Casualties,2007,August,Number,28
620,Killed Casualties,2007,September,Number,28
621,Killed Casualties,2007,October,Number,26
622,Killed Casualties,2007,November,Number,23
623,Killed Casualties,2007,December,Number,38
625,Killed Casualties,2008,January,Number,25
626,Killed Casualties,2008,February,Number,32
627,Killed Casualties,2008,March,Number,20
628,Killed Casualties,2008,April,Number,19
629,Killed Casualties,2008,May,Number,19
630,Killed Casualties,2008,June,Number,28
631,Killed Casualties,2008,July,Number,26
632,Killed Casualties,2008,August,Number,28
633,Killed Casualties,2008,September,Number,19
634,Killed Casualties,2008,October,Number,22
635,Killed Casualties,2008,November,Number,22
636,Killed Casualties,2008,December,Number,19
638,Killed Casualties,2009,January,Number,18
639,Killed Casualties,2009,February,Number,15
640,Killed Casualties,2009,March,Number,24
641,Killed Casualties,2009,April,Number,20
642,Killed Casualties,2009,May,Number,28
643,Killed Casualties,2009,June,Number,15
644,Killed Casualties,2009,July,Number,19
645,Killed Casualties,2009,August,Number,20
646,Killed Casualties,2009,September,Number,14
647,Killed Casualties,2009,October,Number,22
648,Killed Casualties,2009,November,Number,25
649,Killed Casualties,2009,December,Number,18
651,Killed Casualties,2010,January,Number,15
652,Killed Casualties,2010,February,Number,14
653,Killed Casualties,2010,March,Number,12
654,Killed Casualties,2010,April,Number,19
655,Killed Casualties,2010,May,Number,28
656,Killed Casualties,2010,June,Number,11
657,Killed Casualties,2010,July,Number,21
658,Killed Casualties,2010,August,Number,19
659,Killed Casualties,2010,September,Number,13
660,Killed Casualties,2010,October,Number,36
661,Killed Casualties,2010,November,Number,14
662,Killed Casualties,2010,December,Number,10
664,Killed Casualties,2011,January,Number,21
665,Killed Casualties,2011,February,Number,18
666,Killed Casualties,2011,March,Number,15
667,Killed Casualties,2011,April,Number,8
668,Killed Casualties,2011,May,Number,11
669,Killed Casualties,2011,June,Number,15
670,Killed Casualties,2011,July,Number,18
671,Killed Casualties,2011,August,Number,16
672,Killed Casualties,2011,September,Number,13
673,Killed Casualties,2011,October,Number,15
674,Killed Casualties,2011,November,Number,18
675,Killed Casualties,2011,December,Number,18
677,Killed Casualties,2012,January,Number,10
678,Killed Casualties,2012,February,Number,13
679,Killed Casualties,2012,March,Number,12
680,Killed Casualties,2012,April,Number,16
681,Killed Casualties,2012,May,Number,13
682,Killed Casualties,2012,June,Number,26
683,Killed Casualties,2012,July,Number,15
684,Killed Casualties,2012,August,Number,12
685,Killed Casualties,2012,September,Number,10
686,Killed Casualties,2012,October,Number,15
