,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
6313,All Killed and Injured Casualties,2005,15 - 17 years,Female,Pedestrians,Number,40
6314,All Killed and Injured Casualties,2005,15 - 17 years,Female,Pedal cyclists,Number,2
6315,All Killed and Injured Casualties,2005,15 - 17 years,Female,Motor cyclists,Number,6
6317,All Killed and Injured Casualties,2005,15 - 17 years,Female,Car drivers,Number,13
6318,All Killed and Injured Casualties,2005,15 - 17 years,Female,Car passengers,Number,91
6319,All Killed and Injured Casualties,2005,15 - 17 years,Female,Other road users,Number,13
6321,All Killed and Injured Casualties,2005,18 - 20 years,Male,Pedestrians,Number,29
6322,All Killed and Injured Casualties,2005,18 - 20 years,Male,Pedal cyclists,Number,9
6323,All Killed and Injured Casualties,2005,18 - 20 years,Male,Motor cyclists,Number,43
6325,All Killed and Injured Casualties,2005,18 - 20 years,Male,Car drivers,Number,294
6326,All Killed and Injured Casualties,2005,18 - 20 years,Male,Car passengers,Number,215
6327,All Killed and Injured Casualties,2005,18 - 20 years,Male,Other road users,Number,50
6329,All Killed and Injured Casualties,2005,18 - 20 years,Female,Pedestrians,Number,24
6330,All Killed and Injured Casualties,2005,18 - 20 years,Female,Pedal cyclists,Number,0
6331,All Killed and Injured Casualties,2005,18 - 20 years,Female,Motor cyclists,Number,1
6333,All Killed and Injured Casualties,2005,18 - 20 years,Female,Car drivers,Number,124
6334,All Killed and Injured Casualties,2005,18 - 20 years,Female,Car passengers,Number,167
6335,All Killed and Injured Casualties,2005,18 - 20 years,Female,Other road users,Number,12
6337,All Killed and Injured Casualties,2005,21 - 24 years,Male,Pedestrians,Number,42
6338,All Killed and Injured Casualties,2005,21 - 24 years,Male,Pedal cyclists,Number,11
6339,All Killed and Injured Casualties,2005,21 - 24 years,Male,Motor cyclists,Number,71
6341,All Killed and Injured Casualties,2005,21 - 24 years,Male,Car drivers,Number,298
6342,All Killed and Injured Casualties,2005,21 - 24 years,Male,Car passengers,Number,164
6343,All Killed and Injured Casualties,2005,21 - 24 years,Male,Other road users,Number,98
6345,All Killed and Injured Casualties,2005,21 - 24 years,Female,Pedestrians,Number,30
6346,All Killed and Injured Casualties,2005,21 - 24 years,Female,Pedal cyclists,Number,5
6347,All Killed and Injured Casualties,2005,21 - 24 years,Female,Motor cyclists,Number,5
6349,All Killed and Injured Casualties,2005,21 - 24 years,Female,Car drivers,Number,219
6350,All Killed and Injured Casualties,2005,21 - 24 years,Female,Car passengers,Number,111
6351,All Killed and Injured Casualties,2005,21 - 24 years,Female,Other road users,Number,14
6353,All Killed and Injured Casualties,2005,25 - 34 years,Male,Pedestrians,Number,80
6354,All Killed and Injured Casualties,2005,25 - 34 years,Male,Pedal cyclists,Number,38
6355,All Killed and Injured Casualties,2005,25 - 34 years,Male,Motor cyclists,Number,165
6357,All Killed and Injured Casualties,2005,25 - 34 years,Male,Car drivers,Number,537
6358,All Killed and Injured Casualties,2005,25 - 34 years,Male,Car passengers,Number,121
6359,All Killed and Injured Casualties,2005,25 - 34 years,Male,Other road users,Number,222
6361,All Killed and Injured Casualties,2005,25 - 34 years,Female,Pedestrians,Number,60
6362,All Killed and Injured Casualties,2005,25 - 34 years,Female,Pedal cyclists,Number,8
6363,All Killed and Injured Casualties,2005,25 - 34 years,Female,Motor cyclists,Number,14
6365,All Killed and Injured Casualties,2005,25 - 34 years,Female,Car drivers,Number,458
6366,All Killed and Injured Casualties,2005,25 - 34 years,Female,Car passengers,Number,153
6367,All Killed and Injured Casualties,2005,25 - 34 years,Female,Other road users,Number,38
6369,All Killed and Injured Casualties,2005,35 - 44 years,Male,Pedestrians,Number,64
6370,All Killed and Injured Casualties,2005,35 - 44 years,Male,Pedal cyclists,Number,21
6371,All Killed and Injured Casualties,2005,35 - 44 years,Male,Motor cyclists,Number,104
6373,All Killed and Injured Casualties,2005,35 - 44 years,Male,Car drivers,Number,320
6374,All Killed and Injured Casualties,2005,35 - 44 years,Male,Car passengers,Number,62
6375,All Killed and Injured Casualties,2005,35 - 44 years,Male,Other road users,Number,134
6377,All Killed and Injured Casualties,2005,35 - 44 years,Female,Pedestrians,Number,35
6378,All Killed and Injured Casualties,2005,35 - 44 years,Female,Pedal cyclists,Number,9
6379,All Killed and Injured Casualties,2005,35 - 44 years,Female,Motor cyclists,Number,8
6381,All Killed and Injured Casualties,2005,35 - 44 years,Female,Car drivers,Number,279
6382,All Killed and Injured Casualties,2005,35 - 44 years,Female,Car passengers,Number,88
6383,All Killed and Injured Casualties,2005,35 - 44 years,Female,Other road users,Number,20
6385,All Killed and Injured Casualties,2005,45 - 54 years,Male,Pedestrians,Number,37
6386,All Killed and Injured Casualties,2005,45 - 54 years,Male,Pedal cyclists,Number,10
6387,All Killed and Injured Casualties,2005,45 - 54 years,Male,Motor cyclists,Number,47
6389,All Killed and Injured Casualties,2005,45 - 54 years,Male,Car drivers,Number,213
6390,All Killed and Injured Casualties,2005,45 - 54 years,Male,Car passengers,Number,38
6391,All Killed and Injured Casualties,2005,45 - 54 years,Male,Other road users,Number,105
6393,All Killed and Injured Casualties,2005,45 - 54 years,Female,Pedestrians,Number,30
6394,All Killed and Injured Casualties,2005,45 - 54 years,Female,Pedal cyclists,Number,6
6395,All Killed and Injured Casualties,2005,45 - 54 years,Female,Motor cyclists,Number,5
6397,All Killed and Injured Casualties,2005,45 - 54 years,Female,Car drivers,Number,224
6398,All Killed and Injured Casualties,2005,45 - 54 years,Female,Car passengers,Number,68
6399,All Killed and Injured Casualties,2005,45 - 54 years,Female,Other road users,Number,15
6401,All Killed and Injured Casualties,2005,55 - 64 years,Male,Pedestrians,Number,49
6402,All Killed and Injured Casualties,2005,55 - 64 years,Male,Pedal cyclists,Number,12
6403,All Killed and Injured Casualties,2005,55 - 64 years,Male,Motor cyclists,Number,8
6405,All Killed and Injured Casualties,2005,55 - 64 years,Male,Car drivers,Number,158
6406,All Killed and Injured Casualties,2005,55 - 64 years,Male,Car passengers,Number,25
6407,All Killed and Injured Casualties,2005,55 - 64 years,Male,Other road users,Number,55
6409,All Killed and Injured Casualties,2005,55 - 64 years,Female,Pedestrians,Number,27
6410,All Killed and Injured Casualties,2005,55 - 64 years,Female,Pedal cyclists,Number,3
6411,All Killed and Injured Casualties,2005,55 - 64 years,Female,Motor cyclists,Number,2
6413,All Killed and Injured Casualties,2005,55 - 64 years,Female,Car drivers,Number,133
6414,All Killed and Injured Casualties,2005,55 - 64 years,Female,Car passengers,Number,57
6415,All Killed and Injured Casualties,2005,55 - 64 years,Female,Other road users,Number,8
6417,All Killed and Injured Casualties,2005,65 years and over,Male,Pedestrians,Number,65
6418,All Killed and Injured Casualties,2005,65 years and over,Male,Pedal cyclists,Number,9
6419,All Killed and Injured Casualties,2005,65 years and over,Male,Motor cyclists,Number,6
6421,All Killed and Injured Casualties,2005,65 years and over,Male,Car drivers,Number,170
6422,All Killed and Injured Casualties,2005,65 years and over,Male,Car passengers,Number,32
6423,All Killed and Injured Casualties,2005,65 years and over,Male,Other road users,Number,23
6425,All Killed and Injured Casualties,2005,65 years and over,Female,Pedestrians,Number,68
6426,All Killed and Injured Casualties,2005,65 years and over,Female,Pedal cyclists,Number,2
6427,All Killed and Injured Casualties,2005,65 years and over,Female,Motor cyclists,Number,3
6429,All Killed and Injured Casualties,2005,65 years and over,Female,Car drivers,Number,106
6430,All Killed and Injured Casualties,2005,65 years and over,Female,Car passengers,Number,81
6431,All Killed and Injured Casualties,2005,65 years and over,Female,Other road users,Number,10
6433,All Killed and Injured Casualties,2005,Age unknown,Male,Pedestrians,Number,27
6434,All Killed and Injured Casualties,2005,Age unknown,Male,Pedal cyclists,Number,9
6435,All Killed and Injured Casualties,2005,Age unknown,Male,Motor cyclists,Number,12
6437,All Killed and Injured Casualties,2005,Age unknown,Male,Car drivers,Number,35
6438,All Killed and Injured Casualties,2005,Age unknown,Male,Car passengers,Number,22
6439,All Killed and Injured Casualties,2005,Age unknown,Male,Other road users,Number,25
6441,All Killed and Injured Casualties,2005,Age unknown,Female,Pedestrians,Number,21
6442,All Killed and Injured Casualties,2005,Age unknown,Female,Pedal cyclists,Number,3
6443,All Killed and Injured Casualties,2005,Age unknown,Female,Motor cyclists,Number,1
6445,All Killed and Injured Casualties,2005,Age unknown,Female,Car drivers,Number,31
6446,All Killed and Injured Casualties,2005,Age unknown,Female,Car passengers,Number,33
6447,All Killed and Injured Casualties,2005,Age unknown,Female,Other road users,Number,12
6449,All Killed and Injured Casualties,2006,All ages,Male,Pedestrians,Number,540
6450,All Killed and Injured Casualties,2006,All ages,Male,Pedal cyclists,Number,154
6451,All Killed and Injured Casualties,2006,All ages,Male,Motor cyclists,Number,446
6453,All Killed and Injured Casualties,2006,All ages,Male,Car drivers,Number,1997
6454,All Killed and Injured Casualties,2006,All ages,Male,Car passengers,Number,833
6455,All Killed and Injured Casualties,2006,All ages,Male,Other road users,Number,758
6457,All Killed and Injured Casualties,2006,All ages,Female,Pedestrians,Number,406
6458,All Killed and Injured Casualties,2006,All ages,Female,Pedal cyclists,Number,44
6459,All Killed and Injured Casualties,2006,All ages,Female,Motor cyclists,Number,46
6461,All Killed and Injured Casualties,2006,All ages,Female,Car drivers,Number,1676
6462,All Killed and Injured Casualties,2006,All ages,Female,Car passengers,Number,1037
6463,All Killed and Injured Casualties,2006,All ages,Female,Other road users,Number,156
6465,All Killed and Injured Casualties,2006,0 - 5 years,Male,Pedestrians,Number,33
6466,All Killed and Injured Casualties,2006,0 - 5 years,Male,Pedal cyclists,Number,0
6467,All Killed and Injured Casualties,2006,0 - 5 years,Male,Motor cyclists,Number,0
6469,All Killed and Injured Casualties,2006,0 - 5 years,Male,Car drivers,Number,0
6470,All Killed and Injured Casualties,2006,0 - 5 years,Male,Car passengers,Number,55
6471,All Killed and Injured Casualties,2006,0 - 5 years,Male,Other road users,Number,6
6473,All Killed and Injured Casualties,2006,0 - 5 years,Female,Pedestrians,Number,18
6474,All Killed and Injured Casualties,2006,0 - 5 years,Female,Pedal cyclists,Number,0
6475,All Killed and Injured Casualties,2006,0 - 5 years,Female,Motor cyclists,Number,1
6477,All Killed and Injured Casualties,2006,0 - 5 years,Female,Car drivers,Number,0
6478,All Killed and Injured Casualties,2006,0 - 5 years,Female,Car passengers,Number,56
6479,All Killed and Injured Casualties,2006,0 - 5 years,Female,Other road users,Number,2
6481,All Killed and Injured Casualties,2006,6 - 9 years,Male,Pedestrians,Number,46
6482,All Killed and Injured Casualties,2006,6 - 9 years,Male,Pedal cyclists,Number,2
6483,All Killed and Injured Casualties,2006,6 - 9 years,Male,Motor cyclists,Number,0
6485,All Killed and Injured Casualties,2006,6 - 9 years,Male,Car drivers,Number,0
6486,All Killed and Injured Casualties,2006,6 - 9 years,Male,Car passengers,Number,34
6487,All Killed and Injured Casualties,2006,6 - 9 years,Male,Other road users,Number,1
6489,All Killed and Injured Casualties,2006,6 - 9 years,Female,Pedestrians,Number,27
6490,All Killed and Injured Casualties,2006,6 - 9 years,Female,Pedal cyclists,Number,2
6491,All Killed and Injured Casualties,2006,6 - 9 years,Female,Motor cyclists,Number,0
6493,All Killed and Injured Casualties,2006,6 - 9 years,Female,Car drivers,Number,0
6494,All Killed and Injured Casualties,2006,6 - 9 years,Female,Car passengers,Number,42
6495,All Killed and Injured Casualties,2006,6 - 9 years,Female,Other road users,Number,7
6497,All Killed and Injured Casualties,2006,10 - 14 years,Male,Pedestrians,Number,44
6498,All Killed and Injured Casualties,2006,10 - 14 years,Male,Pedal cyclists,Number,18
6499,All Killed and Injured Casualties,2006,10 - 14 years,Male,Motor cyclists,Number,3
6501,All Killed and Injured Casualties,2006,10 - 14 years,Male,Car drivers,Number,0
6502,All Killed and Injured Casualties,2006,10 - 14 years,Male,Car passengers,Number,46
6503,All Killed and Injured Casualties,2006,10 - 14 years,Male,Other road users,Number,10
6505,All Killed and Injured Casualties,2006,10 - 14 years,Female,Pedestrians,Number,35
6506,All Killed and Injured Casualties,2006,10 - 14 years,Female,Pedal cyclists,Number,2
6507,All Killed and Injured Casualties,2006,10 - 14 years,Female,Motor cyclists,Number,0
6509,All Killed and Injured Casualties,2006,10 - 14 years,Female,Car drivers,Number,1
6510,All Killed and Injured Casualties,2006,10 - 14 years,Female,Car passengers,Number,55
6511,All Killed and Injured Casualties,2006,10 - 14 years,Female,Other road users,Number,10
6513,All Killed and Injured Casualties,2006,15 - 17 years,Male,Pedestrians,Number,28
6514,All Killed and Injured Casualties,2006,15 - 17 years,Male,Pedal cyclists,Number,4
6515,All Killed and Injured Casualties,2006,15 - 17 years,Male,Motor cyclists,Number,29
6517,All Killed and Injured Casualties,2006,15 - 17 years,Male,Car drivers,Number,55
6518,All Killed and Injured Casualties,2006,15 - 17 years,Male,Car passengers,Number,100
6519,All Killed and Injured Casualties,2006,15 - 17 years,Male,Other road users,Number,26
6521,All Killed and Injured Casualties,2006,15 - 17 years,Female,Pedestrians,Number,28
6522,All Killed and Injured Casualties,2006,15 - 17 years,Female,Pedal cyclists,Number,1
6523,All Killed and Injured Casualties,2006,15 - 17 years,Female,Motor cyclists,Number,1
6525,All Killed and Injured Casualties,2006,15 - 17 years,Female,Car drivers,Number,20
6526,All Killed and Injured Casualties,2006,15 - 17 years,Female,Car passengers,Number,121
6527,All Killed and Injured Casualties,2006,15 - 17 years,Female,Other road users,Number,11
6529,All Killed and Injured Casualties,2006,18 - 20 years,Male,Pedestrians,Number,30
6530,All Killed and Injured Casualties,2006,18 - 20 years,Male,Pedal cyclists,Number,7
6531,All Killed and Injured Casualties,2006,18 - 20 years,Male,Motor cyclists,Number,26
6533,All Killed and Injured Casualties,2006,18 - 20 years,Male,Car drivers,Number,279
6534,All Killed and Injured Casualties,2006,18 - 20 years,Male,Car passengers,Number,161
6535,All Killed and Injured Casualties,2006,18 - 20 years,Male,Other road users,Number,58
6537,All Killed and Injured Casualties,2006,18 - 20 years,Female,Pedestrians,Number,32
6538,All Killed and Injured Casualties,2006,18 - 20 years,Female,Pedal cyclists,Number,1
6539,All Killed and Injured Casualties,2006,18 - 20 years,Female,Motor cyclists,Number,3
6541,All Killed and Injured Casualties,2006,18 - 20 years,Female,Car drivers,Number,137
6542,All Killed and Injured Casualties,2006,18 - 20 years,Female,Car passengers,Number,165
6543,All Killed and Injured Casualties,2006,18 - 20 years,Female,Other road users,Number,12
6545,All Killed and Injured Casualties,2006,21 - 24 years,Male,Pedestrians,Number,50
6546,All Killed and Injured Casualties,2006,21 - 24 years,Male,Pedal cyclists,Number,9
6547,All Killed and Injured Casualties,2006,21 - 24 years,Male,Motor cyclists,Number,43
6549,All Killed and Injured Casualties,2006,21 - 24 years,Male,Car drivers,Number,325
6550,All Killed and Injured Casualties,2006,21 - 24 years,Male,Car passengers,Number,138
6551,All Killed and Injured Casualties,2006,21 - 24 years,Male,Other road users,Number,85
6553,All Killed and Injured Casualties,2006,21 - 24 years,Female,Pedestrians,Number,26
6554,All Killed and Injured Casualties,2006,21 - 24 years,Female,Pedal cyclists,Number,4
6555,All Killed and Injured Casualties,2006,21 - 24 years,Female,Motor cyclists,Number,6
6557,All Killed and Injured Casualties,2006,21 - 24 years,Female,Car drivers,Number,206
6558,All Killed and Injured Casualties,2006,21 - 24 years,Female,Car passengers,Number,106
6559,All Killed and Injured Casualties,2006,21 - 24 years,Female,Other road users,Number,14
6561,All Killed and Injured Casualties,2006,25 - 34 years,Male,Pedestrians,Number,69
6562,All Killed and Injured Casualties,2006,25 - 34 years,Male,Pedal cyclists,Number,39
6563,All Killed and Injured Casualties,2006,25 - 34 years,Male,Motor cyclists,Number,165
6565,All Killed and Injured Casualties,2006,25 - 34 years,Male,Car drivers,Number,496
6566,All Killed and Injured Casualties,2006,25 - 34 years,Male,Car passengers,Number,162
6567,All Killed and Injured Casualties,2006,25 - 34 years,Male,Other road users,Number,206
6569,All Killed and Injured Casualties,2006,25 - 34 years,Female,Pedestrians,Number,45
6570,All Killed and Injured Casualties,2006,25 - 34 years,Female,Pedal cyclists,Number,14
6571,All Killed and Injured Casualties,2006,25 - 34 years,Female,Motor cyclists,Number,20
6573,All Killed and Injured Casualties,2006,25 - 34 years,Female,Car drivers,Number,468
6574,All Killed and Injured Casualties,2006,25 - 34 years,Female,Car passengers,Number,140
6575,All Killed and Injured Casualties,2006,25 - 34 years,Female,Other road users,Number,28
6577,All Killed and Injured Casualties,2006,35 - 44 years,Male,Pedestrians,Number,62
6578,All Killed and Injured Casualties,2006,35 - 44 years,Male,Pedal cyclists,Number,25
6579,All Killed and Injured Casualties,2006,35 - 44 years,Male,Motor cyclists,Number,108
6581,All Killed and Injured Casualties,2006,35 - 44 years,Male,Car drivers,Number,308
6582,All Killed and Injured Casualties,2006,35 - 44 years,Male,Car passengers,Number,48
6583,All Killed and Injured Casualties,2006,35 - 44 years,Male,Other road users,Number,147
6585,All Killed and Injured Casualties,2006,35 - 44 years,Female,Pedestrians,Number,29
6586,All Killed and Injured Casualties,2006,35 - 44 years,Female,Pedal cyclists,Number,5
6587,All Killed and Injured Casualties,2006,35 - 44 years,Female,Motor cyclists,Number,7
6589,All Killed and Injured Casualties,2006,35 - 44 years,Female,Car drivers,Number,338
6590,All Killed and Injured Casualties,2006,35 - 44 years,Female,Car passengers,Number,69
6591,All Killed and Injured Casualties,2006,35 - 44 years,Female,Other road users,Number,21
6593,All Killed and Injured Casualties,2006,45 - 54 years,Male,Pedestrians,Number,48
6594,All Killed and Injured Casualties,2006,45 - 54 years,Male,Pedal cyclists,Number,15
6595,All Killed and Injured Casualties,2006,45 - 54 years,Male,Motor cyclists,Number,37
6597,All Killed and Injured Casualties,2006,45 - 54 years,Male,Car drivers,Number,204
6598,All Killed and Injured Casualties,2006,45 - 54 years,Male,Car passengers,Number,29
6599,All Killed and Injured Casualties,2006,45 - 54 years,Male,Other road users,Number,105
6601,All Killed and Injured Casualties,2006,45 - 54 years,Female,Pedestrians,Number,29
6602,All Killed and Injured Casualties,2006,45 - 54 years,Female,Pedal cyclists,Number,7
6603,All Killed and Injured Casualties,2006,45 - 54 years,Female,Motor cyclists,Number,5
6605,All Killed and Injured Casualties,2006,45 - 54 years,Female,Car drivers,Number,242
6606,All Killed and Injured Casualties,2006,45 - 54 years,Female,Car passengers,Number,75
6607,All Killed and Injured Casualties,2006,45 - 54 years,Female,Other road users,Number,14
6609,All Killed and Injured Casualties,2006,55 - 64 years,Male,Pedestrians,Number,44
6610,All Killed and Injured Casualties,2006,55 - 64 years,Male,Pedal cyclists,Number,10
6611,All Killed and Injured Casualties,2006,55 - 64 years,Male,Motor cyclists,Number,15
6613,All Killed and Injured Casualties,2006,55 - 64 years,Male,Car drivers,Number,142
6614,All Killed and Injured Casualties,2006,55 - 64 years,Male,Car passengers,Number,18
6615,All Killed and Injured Casualties,2006,55 - 64 years,Male,Other road users,Number,63
6617,All Killed and Injured Casualties,2006,55 - 64 years,Female,Pedestrians,Number,32
6618,All Killed and Injured Casualties,2006,55 - 64 years,Female,Pedal cyclists,Number,2
6619,All Killed and Injured Casualties,2006,55 - 64 years,Female,Motor cyclists,Number,0
6621,All Killed and Injured Casualties,2006,55 - 64 years,Female,Car drivers,Number,123
6622,All Killed and Injured Casualties,2006,55 - 64 years,Female,Car passengers,Number,78
6623,All Killed and Injured Casualties,2006,55 - 64 years,Female,Other road users,Number,10
6625,All Killed and Injured Casualties,2006,65 years and over,Male,Pedestrians,Number,60
6626,All Killed and Injured Casualties,2006,65 years and over,Male,Pedal cyclists,Number,9
6627,All Killed and Injured Casualties,2006,65 years and over,Male,Motor cyclists,Number,4
6629,All Killed and Injured Casualties,2006,65 years and over,Male,Car drivers,Number,147
6630,All Killed and Injured Casualties,2006,65 years and over,Male,Car passengers,Number,23
6631,All Killed and Injured Casualties,2006,65 years and over,Male,Other road users,Number,34
6633,All Killed and Injured Casualties,2006,65 years and over,Female,Pedestrians,Number,85
6634,All Killed and Injured Casualties,2006,65 years and over,Female,Pedal cyclists,Number,0
6635,All Killed and Injured Casualties,2006,65 years and over,Female,Motor cyclists,Number,2
6637,All Killed and Injured Casualties,2006,65 years and over,Female,Car drivers,Number,106
6638,All Killed and Injured Casualties,2006,65 years and over,Female,Car passengers,Number,92
6639,All Killed and Injured Casualties,2006,65 years and over,Female,Other road users,Number,16
6641,All Killed and Injured Casualties,2006,Age unknown,Male,Pedestrians,Number,26
6642,All Killed and Injured Casualties,2006,Age unknown,Male,Pedal cyclists,Number,16
6643,All Killed and Injured Casualties,2006,Age unknown,Male,Motor cyclists,Number,16
6645,All Killed and Injured Casualties,2006,Age unknown,Male,Car drivers,Number,41
6646,All Killed and Injured Casualties,2006,Age unknown,Male,Car passengers,Number,19
6647,All Killed and Injured Casualties,2006,Age unknown,Male,Other road users,Number,17
6649,All Killed and Injured Casualties,2006,Age unknown,Female,Pedestrians,Number,20
6650,All Killed and Injured Casualties,2006,Age unknown,Female,Pedal cyclists,Number,6
6651,All Killed and Injured Casualties,2006,Age unknown,Female,Motor cyclists,Number,1
6653,All Killed and Injured Casualties,2006,Age unknown,Female,Car drivers,Number,35
6654,All Killed and Injured Casualties,2006,Age unknown,Female,Car passengers,Number,38
6655,All Killed and Injured Casualties,2006,Age unknown,Female,Other road users,Number,11
6657,All Killed and Injured Casualties,2007,All ages,Male,Pedestrians,Number,539
6658,All Killed and Injured Casualties,2007,All ages,Male,Pedal cyclists,Number,197
6659,All Killed and Injured Casualties,2007,All ages,Male,Motor cyclists,Number,362
6661,All Killed and Injured Casualties,2007,All ages,Male,Car drivers,Number,1797
6662,All Killed and Injured Casualties,2007,All ages,Male,Car passengers,Number,829
6663,All Killed and Injured Casualties,2007,All ages,Male,Other road users,Number,650
6665,All Killed and Injured Casualties,2007,All ages,Female,Pedestrians,Number,390
6666,All Killed and Injured Casualties,2007,All ages,Female,Pedal cyclists,Number,63
6667,All Killed and Injured Casualties,2007,All ages,Female,Motor cyclists,Number,28
6669,All Killed and Injured Casualties,2007,All ages,Female,Car drivers,Number,1556
6670,All Killed and Injured Casualties,2007,All ages,Female,Car passengers,Number,1094
6671,All Killed and Injured Casualties,2007,All ages,Female,Other road users,Number,111
6673,All Killed and Injured Casualties,2007,0 - 5 years,Male,Pedestrians,Number,28
6674,All Killed and Injured Casualties,2007,0 - 5 years,Male,Pedal cyclists,Number,2
6675,All Killed and Injured Casualties,2007,0 - 5 years,Male,Motor cyclists,Number,0
6677,All Killed and Injured Casualties,2007,0 - 5 years,Male,Car drivers,Number,0
6678,All Killed and Injured Casualties,2007,0 - 5 years,Male,Car passengers,Number,71
6679,All Killed and Injured Casualties,2007,0 - 5 years,Male,Other road users,Number,2
6681,All Killed and Injured Casualties,2007,0 - 5 years,Female,Pedestrians,Number,22
6682,All Killed and Injured Casualties,2007,0 - 5 years,Female,Pedal cyclists,Number,1
6683,All Killed and Injured Casualties,2007,0 - 5 years,Female,Motor cyclists,Number,0
6685,All Killed and Injured Casualties,2007,0 - 5 years,Female,Car drivers,Number,0
6686,All Killed and Injured Casualties,2007,0 - 5 years,Female,Car passengers,Number,79
6687,All Killed and Injured Casualties,2007,0 - 5 years,Female,Other road users,Number,0
6689,All Killed and Injured Casualties,2007,6 - 9 years,Male,Pedestrians,Number,50
6690,All Killed and Injured Casualties,2007,6 - 9 years,Male,Pedal cyclists,Number,6
